Municipality,Province,Gender,Registered voters (2019),Registered voters (2022),Change,Percentage change
Aroroy,Masbate,FEMALE,"25,636.0","26,913","1,277.0",4.98
Arteche,Eastern Samar,FEMALE,"6,065.0","5,812",-253.0,-4.17
Asingan,Pangasinan,FEMALE,"19,668.0","20,414",746.0,3.79
Asipulo,Ifugao,FEMALE,"3,665.0","3,767",102.0,2.78
Asturias,Cebu,FEMALE,"17,119.0","17,921",802.0,4.68
Asuncion (Saug),Davao (Davao Del Norte),FEMALE,"17,979.0","20,106","2,127.0",11.83
Atimonan,Quezon,FEMALE,"18,433.0","19,657","1,224.0",6.64
Atok,Benguet,FEMALE,"5,385.0","5,544",159.0,2.95
Aurora,Isabela,FEMALE,"11,827.0","12,005",178.0,1.51
Aurora,Zamboanga Del Sur,FEMALE,"17,267.0","18,353","1,086.0",6.29
Ayungon,Negros Oriental,FEMALE,"14,741.0","15,376",635.0,4.31
Baao,Camarines Sur,FEMALE,"17,268.0","18,787","1,519.0",8.8
Babatngon,Leyte,FEMALE,"9,345.0","9,633",288.0,3.08
Bacacay,Albay,FEMALE,"24,955.0","25,225",270.0,1.08
Bacarra,Ilocos Norte,FEMALE,"10,811.0","11,096",285.0,2.64
Baclayon,Bohol,FEMALE,"7,027.0","7,179",152.0,2.16
Bacnotan,La Union,FEMALE,"14,023.0","14,192",169.0,1.21
Baco,Oriental Mindoro,FEMALE,"11,481.0","12,617","1,136.0",9.89
Bacolod,Lanao Del Norte,FEMALE,"7,710.0","8,029",319.0,4.14
Bacolod City,Negros Occidental,FEMALE,"166,736.0","173,936","7,200.0",4.32
Bacolod-Kalawi (Bacolod Grande),Lanao Del Sur,FEMALE,"3,546.0","4,206",660.0,18.61
Bacolor,Pampanga,FEMALE,"25,516.0","25,504",-12.0,-0.05
Bacong,Negros Oriental,FEMALE,"11,496.0","12,975","1,479.0",12.87
Bacoor City,Cavite,FEMALE,"166,776.0","161,648","-5,128.0",-3.07
Bacuag,Surigao Del Norte,FEMALE,"5,825.0","5,916",91.0,1.56
Bacungan (Leon T. Postigo),Zamboanga Del Norte,FEMALE,"8,590.0","8,993",403.0,4.69
Badian,Cebu,FEMALE,"13,204.0","13,808",604.0,4.57
Badiangan,Iloilo,FEMALE,"8,769.0","8,592",-177.0,-2.02
Badoc,Ilocos Norte,FEMALE,"11,030.0","11,081",51.0,0.46
Bagabag,Nueva Vizcaya,FEMALE,"10,514.0","11,058",544.0,5.17
Bagac,Bataan,FEMALE,"12,144.0","12,149",5.0,0.04
Bagamanoc,Catanduanes,FEMALE,"4,344.0","4,184",-160.0,-3.68
Baganga,Davao Oriental,FEMALE,"16,787.0","17,706",919.0,5.47
Baggao,Cagayan,FEMALE,"23,344.0","23,422",78.0,0.33
Bago City,Negros Occidental,FEMALE,"51,337.0","51,427",90.0,0.18
Baguio City,Benguet,FEMALE,"90,884.0","93,145","2,261.0",2.49
Bagulin,La Union,FEMALE,"4,286.0","4,467",181.0,4.22
Bagumbayan,Sultan Kudarat,FEMALE,"20,380.0","20,872",492.0,2.41
Bais City,Negros Oriental,FEMALE,"29,050.0","31,925","2,875.0",9.9
Bakun,Benguet,FEMALE,"4,465.0","4,585",120.0,2.69
Balabac,Palawan,FEMALE,"10,849.0","11,684",835.0,7.7
Balabagan,Lanao Del Sur,FEMALE,"7,934.0","8,931",997.0,12.57
Balagtas (Bigaa),Bulacan,FEMALE,"25,450.0","26,770","1,320.0",5.19
Balamban,Cebu,FEMALE,"26,749.0","27,383",634.0,2.37
Balanga  City,Bataan,FEMALE,"36,909.0","36,580",-329.0,-0.89
Balangiga,Eastern Samar,FEMALE,"5,086.0","5,127",41.0,0.81
Balangkayan,Eastern Samar,FEMALE,"3,776.0","3,761",-15.0,-0.4
Balaoan,La Union,FEMALE,"12,619.0","12,922",303.0,2.4
Balasan,Iloilo,FEMALE,"11,318.0","11,461",143.0,1.26
Balatan,Camarines Sur,FEMALE,"10,019.0","10,282",263.0,2.63
Balayan,Batangas,FEMALE,"27,714.0","29,316","1,602.0",5.78
Balbalan,Kalinga,FEMALE,"4,160.0","4,214",54.0,1.3
Baleno,Masbate,FEMALE,"9,488.0","9,453",-35.0,-0.37
Baler,Aurora,FEMALE,"13,255.0","14,176",921.0,6.95
Balete,Aklan,FEMALE,"9,093.0","8,961",-132.0,-1.45
Balete,Batangas,FEMALE,"7,267.0","7,718",451.0,6.21
Baliangao,Misamis Occidental,FEMALE,"6,454.0","6,257",-197.0,-3.05
Baliguian,Zamboanga Del Norte,FEMALE,"7,498.0","7,276",-222.0,-2.96
Balilihan,Bohol,FEMALE,"6,730.0","7,274",544.0,8.08
Balindong (Watu),Lanao Del Sur,FEMALE,"8,430.0","10,088","1,658.0",19.67
Balingasag,Misamis Oriental,FEMALE,"24,122.0","25,041",919.0,3.81
Balingoan,Misamis Oriental,FEMALE,"4,280.0","4,370",90.0,2.1
Baliuag,Bulacan,FEMALE,"53,420.0","55,833","2,413.0",4.52
Ballesteros,Cagayan,FEMALE,"10,414.0","11,457","1,043.0",10.02
Baloi,Lanao Del Norte,FEMALE,"11,479.0","11,865",386.0,3.36
Balud,Masbate,FEMALE,"13,104.0","13,875",771.0,5.88
Balungao,Pangasinan,FEMALE,"10,120.0","10,308",188.0,1.86
Bamban,Tarlac,FEMALE,"21,126.0","22,774","1,648.0",7.8
Bambang,Nueva Vizcaya,FEMALE,"16,697.0","17,034",337.0,2.02
Banate,Iloilo,FEMALE,"10,992.0","11,412",420.0,3.82
Banaue,Ifugao,FEMALE,"6,868.0","7,337",469.0,6.83
Banaybanay,Davao Oriental,FEMALE,"14,373.0","15,468","1,095.0",7.62
Banayoyo,Ilocos Sur,FEMALE,"2,944.0","3,010",66.0,2.24
Banga,Aklan,FEMALE,"14,206.0","14,659",453.0,3.19
Banga,South Cotabato,FEMALE,"25,659.0","26,983","1,324.0",5.16
Bangar,La Union,FEMALE,"11,947.0","11,673",-274.0,-2.29
Bangued,Abra,FEMALE,"16,425.0","17,319",894.0,5.44
Bangui,Ilocos Norte,FEMALE,"5,795.0","5,679",-116.0,-2.0
Bani,Pangasinan,FEMALE,"15,796.0","16,055",259.0,1.64
Banisilan,Cotabato (North Cotabato),FEMALE,"12,404.0","12,869",465.0,3.75
Banna (Espiritu),Ilocos Norte,FEMALE,"6,444.0","6,386",-58.0,-0.9
Bansalan,Davao Del Sur,FEMALE,"20,912.0","22,983","2,071.0",9.9
Bansud,Oriental Mindoro,FEMALE,"12,770.0","13,601",831.0,6.51
Bantay,Ilocos Sur,FEMALE,"10,581.0","10,933",352.0,3.33
Bantayan,Cebu,FEMALE,"23,526.0","25,507","1,981.0",8.42
Banton,Romblon,FEMALE,"2,042.0","2,025",-17.0,-0.83
Baras,Catanduanes,FEMALE,"5,572.0","5,410",-162.0,-2.91
Baras,Rizal,FEMALE,"21,076.0","23,996","2,920.0",13.85
Barbaza,Antique,FEMALE,"8,099.0","7,975",-124.0,-1.53
Barcelona,Sorsogon,FEMALE,"7,844.0","8,286",442.0,5.63
Barili,Cebu,FEMALE,"25,051.0","27,930","2,879.0",11.49
Barira,Maguindanao,FEMALE,"7,223.0","10,223","3,000.0",41.53
Barlig,Mountain Province,FEMALE,"1,847.0","1,953",106.0,5.74
Barobo,Surigao Del Sur,FEMALE,"15,679.0","17,235","1,556.0",9.92
Barotac Nuevo,Iloilo,FEMALE,"18,958.0","19,458",500.0,2.64
Barotac Viejo,Iloilo,FEMALE,"15,221.0","15,577",356.0,2.34
Baroy,Lanao Del Norte,FEMALE,"9,102.0","10,090",988.0,10.85
Barugo,Leyte,FEMALE,"10,850.0","11,606",756.0,6.97
Basay,Negros Oriental,FEMALE,"9,584.0","10,162",578.0,6.03
Basco,Batanes,FEMALE,"2,967.0","3,260",293.0,9.88
Basey,Samar (Western Samar),FEMALE,"17,600.0","19,101","1,501.0",8.53
Basilisa (Rizal),Dinagat Islands,FEMALE,"7,693.0","7,780",87.0,1.13
Basista,Pangasinan,FEMALE,"11,734.0","12,637",903.0,7.7
Basud,Camarines Norte,FEMALE,"13,743.0","14,442",699.0,5.09
Batac City,Ilocos Norte,FEMALE,"19,094.0","19,915",821.0,4.3
Batad,Iloilo,FEMALE,"7,426.0","7,719",293.0,3.95
Batan,Aklan,FEMALE,"11,840.0","11,836",-4.0,-0.03
Batangas City,Batangas,FEMALE,"118,362.0","117,017","-1,345.0",-1.14
Bataraza,Palawan,FEMALE,"21,858.0","25,830","3,972.0",18.17
Bato,Camarines Sur,FEMALE,"16,024.0","16,802",778.0,4.86
Bato,Catanduanes,FEMALE,"8,358.0","8,450",92.0,1.1
Bato,Leyte,FEMALE,"12,155.0","13,000",845.0,6.95
Batuan,Bohol,FEMALE,"4,771.0","4,974",203.0,4.25
Batuan,Masbate,FEMALE,"5,380.0","5,317",-63.0,-1.17
Bauan,Batangas,FEMALE,"29,282.0","30,626","1,344.0",4.59
Bauang,La Union,FEMALE,"23,921.0","27,093","3,172.0",13.26
Bauko,Mountain Province,FEMALE,"10,878.0","12,086","1,208.0",11.1
Baungon,Bukidnon,FEMALE,"11,952.0","13,152","1,200.0",10.04
Bautista,Pangasinan,FEMALE,"10,395.0","11,114",719.0,6.92
Bay,Laguna,FEMALE,"20,729.0","22,549","1,820.0",8.78
Bayabas,Surigao Del Sur,FEMALE,"3,118.0","3,292",174.0,5.58
Bayambang,Pangasinan,FEMALE,"39,120.0","42,409","3,289.0",8.41
Bayang,Lanao Del Sur,FEMALE,"8,100.0","8,515",415.0,5.12
Bayawan City (Tulong),Negros Oriental,FEMALE,"37,378.0","39,397","2,019.0",5.4
Baybay City,Leyte,FEMALE,"33,749.0","35,740","1,991.0",5.9
Bayog,Zamboanga Del Sur,FEMALE,"9,862.0","10,079",217.0,2.2
Bayombong,Nueva Vizcaya,FEMALE,"18,033.0","19,766","1,733.0",9.61
Bayugan  City,Agusan Del Sur,FEMALE,"30,907.0","32,803","1,896.0",6.13
Belison,Antique,FEMALE,"5,013.0","5,173",160.0,3.19
Benito Soliven,Isabela,FEMALE,"9,121.0","9,438",317.0,3.48
Besao,Mountain Province,FEMALE,"2,411.0","2,812",401.0,16.63
Bien Unido,Bohol,FEMALE,"8,948.0","9,192",244.0,2.73
Bilar,Bohol,FEMALE,"6,443.0","6,683",240.0,3.72
Biliran,Biliran,FEMALE,"6,483.0","6,619",136.0,2.1
Binalbagan,Negros Occidental,FEMALE,"22,288.0","23,071",783.0,3.51
Binalonan,Pangasinan,FEMALE,"18,498.0","20,051","1,553.0",8.4
Binangonan,Rizal,FEMALE,"78,657.0","74,336","-4,321.0",-5.49
Bindoy (Payabon),Negros Oriental,FEMALE,"13,032.0","13,399",367.0,2.82
Bingawan,Iloilo,FEMALE,"4,698.0","4,934",236.0,5.02
Binidayan,Lanao Del Sur,FEMALE,"4,957.0","6,390","1,433.0",28.91
Binmaley,Pangasinan,FEMALE,"31,310.0","32,461","1,151.0",3.68
Binuangan,Misamis Oriental,FEMALE,"3,291.0","3,441",150.0,4.56
Biri,Northern Samar,FEMALE,"4,267.0","4,636",369.0,8.65
Bislig City,Surigao Del Sur,FEMALE,"31,663.0","33,786","2,123.0",6.7
Boac,Marinduque,FEMALE,"17,594.0","19,063","1,469.0",8.35
Bobon,Northern Samar,FEMALE,"8,550.0","8,877",327.0,3.82
Bocaue,Bulacan,FEMALE,"36,403.0","40,795","4,392.0",12.06
Bogo City,Cebu,FEMALE,"27,350.0","29,224","1,874.0",6.85
Bokod,Benguet,FEMALE,"4,734.0","4,866",132.0,2.79
Bolinao,Pangasinan,FEMALE,"23,433.0","24,506","1,073.0",4.58
Boliney,Abra,FEMALE,"1,429.0","1,420",-9.0,-0.63
Boljoon,Cebu,FEMALE,"5,696.0","5,906",210.0,3.69
Bombon,Camarines Sur,FEMALE,"5,826.0","6,133",307.0,5.27
Bongabon,Nueva Ecija,FEMALE,"22,083.0","23,163","1,080.0",4.89
Bongabong,Oriental Mindoro,FEMALE,"22,299.0","23,477","1,178.0",5.28
Bongao,Tawi-Tawi,FEMALE,"30,331.0","32,130","1,799.0",5.93
Bonifacio,Misamis Occidental,FEMALE,"11,708.0","11,384",-324.0,-2.77
Bontoc,Mountain Province,FEMALE,"8,103.0","8,544",441.0,5.44
Bontoc,Southern Leyte,FEMALE,"10,137.0","10,522",385.0,3.8
Borbon,Cebu,FEMALE,"12,441.0","13,205",764.0,6.14
Borongan City,Eastern Samar,FEMALE,"23,221.0","24,562","1,341.0",5.77
Boston,Davao Oriental,FEMALE,"4,944.0","4,981",37.0,0.75
Botolan,Zambales,FEMALE,"21,706.0","22,892","1,186.0",5.46
Braulio E. Dujali,Davao (Davao Del Norte),FEMALE,"7,840.0","8,510",670.0,8.55
Brooke'S Point,Palawan,FEMALE,"21,040.0","23,275","2,235.0",10.62
Buadiposo-Buntong,Lanao Del Sur,FEMALE,"5,160.0","7,070","1,910.0",37.02
Bubong,Lanao Del Sur,FEMALE,"6,697.0","7,856","1,159.0",17.31
Bucay,Abra,FEMALE,"6,350.0","6,384",34.0,0.54
Bucloc,Abra,FEMALE,947.0,977,30.0,3.17
Buenavista,Agusan Del Norte,FEMALE,"22,801.0","25,744","2,943.0",12.91
Buenavista,Bohol,FEMALE,"9,845.0","10,769",924.0,9.39
Buenavista,Guimaras,FEMALE,"17,749.0","18,279",530.0,2.99
Buenavista,Marinduque,FEMALE,"7,858.0","8,221",363.0,4.62
Buenavista,Quezon,FEMALE,"8,943.0","9,825",882.0,9.86
Bugallon,Pangasinan,FEMALE,"22,661.0","24,844","2,183.0",9.63
Bugasong,Antique,FEMALE,"11,461.0","11,397",-64.0,-0.56
Buguey,Cagayan,FEMALE,"8,936.0","9,825",889.0,9.95
Buguias,Benguet,FEMALE,"10,867.0","11,561",694.0,6.39
Buhi,Camarines Sur,FEMALE,"24,550.0","27,692","3,142.0",12.8
Bula,Camarines Sur,FEMALE,"21,029.0","22,630","1,601.0",7.61
Bulacan,Bulacan,FEMALE,"26,042.0","28,678","2,636.0",10.12
Bulalacao  (San Pedro),Oriental Mindoro,FEMALE,"11,131.0","12,464","1,333.0",11.98
Bulan,Sorsogon,FEMALE,"30,764.0","34,149","3,385.0",11.0
Buldon,Maguindanao,FEMALE,"9,897.0","11,071","1,174.0",11.86
Buluan,Maguindanao,FEMALE,"12,202.0","13,236","1,034.0",8.47
Bulusan,Sorsogon,FEMALE,"8,549.0","8,698",149.0,1.74
Bunawan,Agusan Del Sur,FEMALE,"11,761.0","12,104",343.0,2.92
Burauen,Leyte,FEMALE,"15,983.0","16,783",800.0,5.01
Burdeos,Quezon,FEMALE,"6,131.0","7,275","1,144.0",18.66
Burgos,Ilocos Norte,FEMALE,"3,607.0","3,713",106.0,2.94
Burgos,Ilocos Sur,FEMALE,"4,503.0","4,440",-63.0,-1.4
Burgos,Isabela,FEMALE,"8,424.0","8,775",351.0,4.17
Burgos,La Union,FEMALE,"3,016.0","3,154",138.0,4.58
Burgos,Pangasinan,FEMALE,"6,821.0","7,064",243.0,3.56
Burgos,Surigao Del Norte,FEMALE,"1,899.0","2,005",106.0,5.58
Buruanga,Aklan,FEMALE,"6,141.0","6,174",33.0,0.54
Bustos,Bulacan,FEMALE,"23,047.0","25,114","2,067.0",8.97
Busuanga,Palawan,FEMALE,"6,962.0","7,851",889.0,12.77
Butig,Lanao Del Sur,FEMALE,"6,143.0","7,306","1,163.0",18.93
Butuan City,Agusan Del Norte,FEMALE,"110,867.0","113,975","3,108.0",2.8
Buug,Zamboanga Sibugay,FEMALE,"12,637.0","13,025",388.0,3.07
Caba,La Union,FEMALE,"8,325.0","8,859",534.0,6.41
Cabadbaran City,Agusan Del Norte,FEMALE,"26,853.0","28,378","1,525.0",5.68
Cabagan,Isabela,FEMALE,"15,627.0","16,079",452.0,2.89
Cabanatuan City,Nueva Ecija,FEMALE,"113,219.0","112,591",-628.0,-0.55
Cabangan,Zambales,FEMALE,"8,938.0","9,399",461.0,5.16
Cabanglasan,Bukidnon,FEMALE,"10,237.0","11,155",918.0,8.97
Cabarroguis,Quirino,FEMALE,"9,782.0","10,225",443.0,4.53
Cabatuan,Iloilo,FEMALE,"18,025.0","18,964",939.0,5.21
Cabatuan,Isabela,FEMALE,"12,708.0","12,727",19.0,0.15
Cabiao,Nueva Ecija,FEMALE,"27,564.0","29,473","1,909.0",6.93
Cabucgayan,Biliran,FEMALE,"7,497.0","7,485",-12.0,-0.16
Cabugao,Ilocos Sur,FEMALE,"12,679.0","13,433",754.0,5.95
Cabusao,Camarines Sur,FEMALE,"6,722.0","7,190",468.0,6.96
Cabuyao City,Laguna,FEMALE,"113,507.0","127,026","13,519.0",11.91
Cadiz City,Negros Occidental,FEMALE,"46,952.0","49,319","2,367.0",5.04
Cagayan De Oro City,Misamis Oriental,FEMALE,"182,460.0","195,222","12,762.0",6.99
Cagayancillo,Palawan,FEMALE,"2,145.0","2,264",119.0,5.55
Cagdianao,Dinagat Islands,FEMALE,"6,167.0","6,528",361.0,5.85
Cagwait,Surigao Del Sur,FEMALE,"7,172.0","7,671",499.0,6.96
Caibiran,Biliran,FEMALE,"8,205.0","8,420",215.0,2.62
Cainta,Rizal,FEMALE,"93,070.0","88,622","-4,448.0",-4.78
Cajidiocan,Romblon,FEMALE,"6,686.0","7,117",431.0,6.45
Calabanga,Camarines Sur,FEMALE,"26,640.0","28,940","2,300.0",8.63
Calaca,Batangas,FEMALE,"26,199.0","29,932","3,733.0",14.25
Calamba,Misamis Occidental,FEMALE,"7,880.0","8,027",147.0,1.87
Calamba City,Laguna,FEMALE,"160,271.0","172,861","12,590.0",7.86
Calanasan (Bayag),Apayao,FEMALE,"3,838.0","3,971",133.0,3.47
Calanogas,Lanao Del Sur,FEMALE,"3,646.0","3,769",123.0,3.37
Calape,Bohol,FEMALE,"11,548.0","11,666",118.0,1.02
Calasiao,Pangasinan,FEMALE,"31,305.0","33,010","1,705.0",5.45
Calatagan,Batangas,FEMALE,"17,536.0","17,915",379.0,2.16
Calatrava,Negros Occidental,FEMALE,"26,207.0","26,325",118.0,0.45
Calatrava,Romblon,FEMALE,"3,758.0","3,971",213.0,5.67
Calauag,Quezon,FEMALE,"22,249.0","23,681","1,432.0",6.44
Calauan,Laguna,FEMALE,"22,352.0","24,878","2,526.0",11.3
Calayan,Cagayan,FEMALE,"4,641.0","4,579",-62.0,-1.34
Calbayog City,Samar (Western Samar),FEMALE,"63,535.0","67,403","3,868.0",6.09
Calbiga,Samar (Western Samar),FEMALE,"8,072.0","8,362",290.0,3.59
Calinog,Iloilo,FEMALE,"18,914.0","20,349","1,435.0",7.59
Calintaan,Occidental Mindoro,FEMALE,"8,518.0","9,639","1,121.0",13.16
Caloocan City,Ncr,FEMALE,"397,315.0","384,654","-12,661.0",-3.19
Calubian,Leyte,FEMALE,"11,675.0","11,960",285.0,2.44
Calumpit,Bulacan,FEMALE,"35,875.0","36,897","1,022.0",2.85
Caluya,Antique,FEMALE,"10,241.0","11,364","1,123.0",10.97
Camalaniugan,Cagayan,FEMALE,"8,212.0","8,280",68.0,0.83
Camalig,Albay,FEMALE,"22,002.0","23,242","1,240.0",5.64
Camaligan,Camarines Sur,FEMALE,"7,933.0","8,223",290.0,3.66
Camiling,Tarlac,FEMALE,"26,540.0","27,217",677.0,2.55
Can-Avid,Eastern Samar,FEMALE,"7,545.0","7,897",352.0,4.67
Canaman,Camarines Sur,FEMALE,"10,504.0","11,043",539.0,5.13
Candaba,Pampanga,FEMALE,"36,873.0","39,138","2,265.0",6.14
Candelaria,Quezon,FEMALE,"37,816.0","41,801","3,985.0",10.54
Candelaria,Zambales,FEMALE,"9,241.0","10,103",862.0,9.33
Candijay,Bohol,FEMALE,"10,893.0","10,945",52.0,0.48
Candon City,Ilocos Sur,FEMALE,"19,173.0","19,154",-19.0,-0.1
Candoni,Negros Occidental,FEMALE,"7,292.0","7,909",617.0,8.46
Canlaon City,Negros Oriental,FEMALE,"17,023.0","17,707",684.0,4.02
Cantilan,Surigao Del Sur,FEMALE,"11,542.0","12,054",512.0,4.44
Caoayan,Ilocos Sur,FEMALE,"7,007.0","7,238",231.0,3.3
Capalonga,Camarines Norte,FEMALE,"10,275.0","11,211",936.0,9.11
Capas,Tarlac,FEMALE,"36,664.0","43,074","6,410.0",17.48
Capoocan,Leyte,FEMALE,"10,811.0","11,756",945.0,8.74
Capul,Northern Samar,FEMALE,"4,973.0","5,491",518.0,10.42
Caraga,Davao Oriental,FEMALE,"12,228.0","13,130",902.0,7.38
Caramoan,Camarines Sur,FEMALE,"15,799.0","16,896","1,097.0",6.94
Caramoran,Catanduanes,FEMALE,"10,592.0","10,645",53.0,0.5
Carasi,Ilocos Norte,FEMALE,697.0,664,-33.0,-4.73
Carcar City,Cebu,FEMALE,"38,690.0","42,184","3,494.0",9.03
Cardona,Rizal,FEMALE,"15,141.0","16,624","1,483.0",9.79
Carigara,Leyte,FEMALE,"18,055.0","19,183","1,128.0",6.25
Carles,Iloilo,FEMALE,"21,284.0","23,616","2,332.0",10.96
Carmen,Agusan Del Norte,FEMALE,"7,380.0","7,602",222.0,3.01
Carmen,Bohol,FEMALE,"16,541.0","17,439",898.0,5.43
Carmen,Cebu,FEMALE,"18,207.0","19,968","1,761.0",9.67
Carmen,Cotabato (North Cotabato),FEMALE,"19,159.0","18,975",-184.0,-0.96
Carmen,Davao (Davao Del Norte),FEMALE,"22,828.0","24,944","2,116.0",9.27
Carmen,Surigao Del Sur,FEMALE,"4,185.0","4,167",-18.0,-0.43
Carmona,Cavite,FEMALE,"28,554.0","30,090","1,536.0",5.38
Carranglan,Nueva Ecija,FEMALE,"12,215.0","13,501","1,286.0",10.53
Carrascal,Surigao Del Sur,FEMALE,"7,601.0","8,018",417.0,5.49
Casiguran,Aurora,FEMALE,"8,544.0","8,894",350.0,4.1
